                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0049,                 4.5968,                 1.7241,                0.08174,                0.03125,                0.01024,                0.00317,                      0,                    inf,                      0,                0.09604,                  4e-05,                  4e-05
                      1,                  1.969,                 4.8817,                 1.6581,                0.23529,                 0.0625,                0.07839,                0.03227,                      0,                    inf,                      0,               0.091088,              8.838e-05,              8.838e-05
                      2,                 1.5376,                 5.8975,                 1.3462,                0.20554,                0.10938,                0.08728,                0.04217,                      0,                    inf,                      0,               0.086135,             0.00013496,             0.00013496
                      3,                 1.6573,                 2.4846,                 1.4348,                0.02657,                0.21875,                0.00957,                0.00513,                      0,                    inf,                      0,                0.08118,             0.00017974,             0.00017974
                      4,                 1.6447,                 1.7304,                  1.482,                0.46466,                    0.5,                0.44434,                0.23462,                      0,                    inf,                      0,               0.076223,             0.00022272,             0.00022272
                      5,                 1.6645,                 1.6274,                 1.4944,                0.40984,                0.39062,                0.28773,                0.15935,                      0,                    inf,                      0,               0.071264,              0.0002639,              0.0002639
                      6,                 1.5764,                 1.3065,                 1.4039,                0.01878,                0.70312,                0.02054,                0.01041,                      0,                    inf,                      0,               0.066303,             0.00030328,             0.00030328
                      7,                 1.5997,                 1.2657,                 1.4355,                0.04532,                0.46875,                 0.0319,                0.01715,                      0,                    inf,                      0,               0.061341,             0.00034086,             0.00034086
                      8,                 1.6503,                 1.1746,                 1.4374,                0.00412,                0.45312,                0.00454,                0.00179,                      0,                    nan,                      0,               0.056377,             0.00037664,             0.00037664
                      9,                 1.6568,                 1.2571,                 1.4712,                0.00246,                  0.125,                0.00146,                 0.0005,                      0,                    nan,                      0,               0.051411,             0.00041062,             0.00041062
                     10,                 1.5588,                 1.2213,                 1.4247,                0.00095,                   0.25,                0.00061,                0.00024,                      0,                    inf,                      0,               0.046443,              0.0004428,              0.0004428
                     11,                 1.5412,                 1.1387,                 1.4122,                0.00647,                0.34375,                0.00664,                 0.0026,                      0,                    inf,                      0,               0.041473,             0.00047318,             0.00047318
                     12,                 1.6444,                 1.1405,                 1.4356,                0.00034,                 0.0625,                0.00017,                  7e-05,                      0,                    inf,                      0,               0.036502,             0.00050176,             0.00050176
                     13,                 1.6187,                 1.1248,                  1.438,                0.00322,                  0.125,                0.00194,                0.00053,                      0,                    inf,                      0,               0.031529,             0.00052854,             0.00052854
                     14,                 1.6741,                 1.1922,                 1.4414,                0.00289,                0.10938,                0.00181,                0.00091,                      0,                    inf,                      0,               0.026554,             0.00055352,             0.00055352
                     15,                  1.569,                 1.1144,                  1.367,                0.04038,                0.26562,                0.02224,                0.01065,                      0,                    inf,                      0,               0.021577,              0.0005767,              0.0005767
                     16,                 1.6104,                 1.1174,                 1.4296,                0.05263,                0.07812,                0.01671,                0.01043,                      0,                    inf,                      0,               0.016598,             0.00059808,             0.00059808
                     17,                 1.6157,                 1.2585,                 1.4574,                 0.0625,                0.01562,                0.01102,                0.00192,                      0,                    inf,                      0,               0.011618,             0.00061766,             0.00061766
                     18,                  1.563,                 1.1643,                 1.4059,                0.00024,                 0.0625,                0.00013,                  4e-05,                      0,                    inf,                      0,              0.0066354,             0.00063544,             0.00063544
                     19,                  1.569,                 1.1381,                 1.4015,                0.00067,                0.07812,                0.00027,                  9e-05,                      0,                    inf,                      0,              0.0016514,             0.00065142,             0.00065142
                     20,                 1.5478,                 1.1478,                 1.3915,                0.00045,                0.09375,                0.00035,                  6e-05,                      0,                    inf,                      0,                0.00064,                0.00064,                0.00064
                     21,                 1.5536,                 1.2012,                 1.4115,                0.00045,                0.07812,                0.00021,                  6e-05,                      0,                    inf,                      0,                0.00064,                0.00064,                0.00064
